id,lat,lon
7662,None,None
7663,55.666667,12.583333
7664,None,None
7665,56.153423,10.225530
7666,55.470276,8.451869
7667,55.666667,12.583333
7668,55.627684,11.609249
7669,None,None
7670,None,None
7671,None,None
7672,None,None
7673,None,None
7674,None,None
7675,None,None
7676,None,None
7677,None,None
7678,None,None
7679,None,None
7680,None,None
7681,55.666667,12.583333
7682,55.666667,12.583333
7683,55.666667,12.583333
7684,55.749029,12.546008
7685,54.910634,9.792843
7686,None,None
7687,56.086420,8.248684
7688,55.666667,12.583333
7689,None,None
7690,55.666667,12.583333
7691,55.309962,12.389795
7692,55.666667,12.583333
7693,55.666667,12.583333
7694,55.787983,12.593283
7695,55.666667,12.583333
7696,None,None
7697,55.666667,12.583333
7699,55.666667,12.583333
7700,55.666667,12.583333
7701,56.153423,10.225530
7702,None,None
7703,None,None
7704,None,None
7705,None,None
7706,None,None
7707,None,None
7708,None,None
7709,None,None
7710,None,None
7711,55.666667,12.583333
7712,55.666667,12.583333
7713,None,None
7714,57.565886,10.110959
7715,55.865675,9.873531
7716,55.666667,12.583333
7717,None,None
7718,55.666667,12.583333
7719,57.443803,10.547177
7720,None,None
7721,None,None
7722,None,None
7723,None,None
7724,55.666667,12.583333
7725,None,None
7726,None,None
7727,56.029377,12.586267
7728,None,None
7729,55.650000,12.600000
7730,55.640094,12.080540
7731,55.678467,12.522092
7732,None,None
7733,None,None
7734,None,None
7735,None,None
7736,None,None
7737,None,None
7738,None,None
7739,None,None
7740,None,None
7741,None,None
7742,55.666667,12.583333
7743,None,None
7744,56.359471,8.620799
7745,55.303365,11.549197
7746,56.626254,10.093171
7747,55.666667,12.583333
7748,55.666667,12.583333
7749,55.666667,12.583333
7750,55.666667,12.583333
7751,55.708391,9.542763
7752,56.477515,10.305488
7753,None,None
7754,55.636126,12.601947
7755,None,None
7756,None,None
7757,55.666667,12.583333
7758,None,None
7759,55.666667,12.583333
7760,55.678467,12.522092
7761,55.607305,12.085311
7762,55.607305,12.085311
7763,57.559054,9.988891
7764,55.666667,12.583333
7765,54.782641,11.093617
7766,55.708391,9.542763
7767,57.035498,9.941163
7768,None,None
7769,None,None
7770,None,None
7771,None,None
7772,None,None
7773,None,None
7774,None,None
7775,None,None
7776,None,None
7777,None,None
7778,None,None
7779,None,None
7780,None,None
7781,None,None
7782,None,None
7783,None,None
7784,None,None
7785,None,None
7786,None,None
7787,None,None
7788,None,None
7789,55.865675,9.873531
7790,55.666667,12.583333
7791,55.970793,9.608549
7792,None,None
7793,55.666667,12.583333
7794,56.551663,10.298744
7795,55.666667,12.583333
7796,56.460704,10.036390
7797,56.029377,12.586267
7798,55.666667,12.583333
7799,55.708391,9.542763
7800,None,None
7801,55.678467,12.522092
7802,55.666667,12.583333
7803,56.133333,8.983333
7804,55.666667,12.583333
7805,56.153423,10.225530
7806,55.666667,12.583333
7807,56.460704,10.036390
7808,55.666667,12.583333
7809,55.666667,12.583333
7810,55.666667,12.583333
7811,55.666667,12.583333
7812,55.666667,12.583333
7813,55.597441,12.635080
7814,55.666667,12.583333
7815,55.666667,12.583333
7816,55.651014,12.598493
7817,55.865675,9.873531
7818,None,None
7819,None,None
7820,None,None
7821,None,None
7822,None,None
7823,None,None
7824,None,None
7825,None,None
7826,55.666667,12.583333
7827,55.666667,12.583333
7828,55.666667,12.583333
7829,55.494131,9.458997
7830,55.666667,12.583333
7831,55.666667,12.583333
7832,55.666667,12.583333
7833,55.950000,8.500000
7834,55.058732,10.591346
7835,None,None
7836,55.217881,11.810876
7837,None,None
7838,55.666667,12.583333
7839,None,None
7840,None,None
7841,55.666667,12.583333
7842,55.666667,12.583333
7843,None,None
7844,None,None
7845,None,None
7846,None,None
7847,None,None
7848,None,None
7849,None,None
7850,None,None
7851,None,None
7852,None,None
7853,55.666667,12.583333
7854,55.678467,12.522092
7855,None,None
7856,None,None
7857,55.650000,12.600000
7858,55.666667,12.583333
7859,None,None
7860,None,None
7861,55.666667,12.583333
7862,54.983333,11.900000
7863,55.666667,12.583333
7864,55.865675,9.873531
7865,55.666667,12.583333
7866,56.958788,8.696409
7867,55.651784,11.669073
7868,55.646202,12.636435
7869,54.833487,12.047662
7870,55.721114,11.465466
7871,55.678467,12.522092
7872,55.666667,12.583333
7873,55.666667,12.583333
7874,55.536477,12.009857
7875,56.316019,10.827106
7876,55.622977,12.138696
7877,56.406753,10.800000
7878,56.460704,10.036390
7879,55.757711,10.004655
7880,55.666667,12.583333
7881,55.934936,12.226108
7882,56.283333,8.766667
7883,56.153423,10.225530
7884,56.315496,10.320412
7885,54.837343,11.128390
7886,55.666667,12.583333
7887,None,None
7888,None,None
7889,55.650000,12.600000
7890,55.666667,12.583333
7891,56.477901,10.724038
7892,55.196376,10.251039
7893,57.035498,9.941163
7894,55.136437,15.143710
7895,55.666667,12.583333
7896,None,None
7897,55.666667,12.583333
7898,55.326574,11.150012
